name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sModDesc,sprite
Hangar Improvisé,converted_hangar,1,,,"special, non_phase, merc, standard",Fighters,5000,,,,0,10,10,10,com.fs.starfarer.api.impl.hullmods.ConvertedHangar,<Tooltip created in script>,Baie de chasseurs improvisée pour les non-porteurs.,"Augmente la vitesse de récupération du taux de remplacement des chasseurs de %s pour les croiseurs, et de %s pour les vaisseaux capitaux. Aucun effet supplémentaire pour les destroyers.",graphics/hullmods/converted_hangar.png
Baie de Chasseurs Convertie,converted_fighterbay,0,,,"req_spaceport, special, non_phase, standard","Fighters, Logistics, Requires Dock",3000,,,,2,4,6,10,data.hullmods.ConvertedFighterBay,"Convertit les baies de chasseurs du vaisseau abritant des escadrons intégrés en soutes cargo improvisées, lui offrant %s de capacité cargo supplémentaire et réduisant ses besoins en équipage de %s par baie de chasseurs. La réduction d'équipage est limitée à un maximum de %s.",Convertit les baies de chasseurs intégrées en soutes cargo improvisées.,Coût de maintenance mensuel réduit de %s par baie de chasseurs.,graphics/hullmods/converted_fighter_bay.png
Noyau de Ciblage Dédié,dedicated_targeting_core,0,,,"offensive, merc, standard",Weapons,2500,TRUE,,,0,0,15,25,data.hullmods.DedicatedTargetingCore,"Augmente la portée des armes balistiques et énergétiques de %s/%s pour les croiseurs/vaisseaux capitaux.

Ne peut pas être installé sur une frégate ou un destroyer, et ne peut pas fonctionner conjointement avec le Module de Ciblage Intégré.

La plupart des vaisseaux de combat installent soit un Module de Ciblage Intégré soit un Noyau de Ciblage Dédié, à l'exception des variantes plus spécialisées.","Augmente la portée des armes, davantage pour les grands vaisseaux.",Augmente le bonus de portée à %s pour les croiseurs et %s pour les vaisseaux capitaux.,graphics/hullmods/targeting_core.png
Matrice de Ciblage Défensive,defensive_targeting_array,2,,,"special, merc, standard",Fighters,3000,,,,2,4,6,10,com.fs.starfarer.api.impl.hullmods.DefensiveTargetingArray,"Les liaisons de communication standard des chasseurs sont reconverties pour fournir des données de ciblage à courte portée.

Augmente les dégâts des chasseurs contre les missiles et autres chasseurs de %s, mais empêche les chasseurs de s'éloigner du vaisseau porteur.","Augmente les dégâts de défense de point des chasseurs, réduit leur rayon d'action à zéro.",Augmente la portée des armes balistiques et énergétiques des chasseurs du vaisseau de %s unités.,graphics/hullmods/defensive_targeting_array.png
Kit ECCM,eccm,2,,,"offensive, defensive, merc, standard",Weapons,2500,,,,5,8,15,20,data.hullmods.ECCMPackage,"Réduit la probabilité que les missiles tirés par le vaisseau soient affectés par les contre-mesures électroniques et les leurres de %s.

Un noyau CPU auxiliaire dans chaque missile augmente la vitesse maximale des missiles de %s et la maniabilité des missiles de %s, tout en améliorant significativement l'algorithme de guidage.

Réduit également la réduction de portée des armes due aux ECM ennemies de %s.","Améliore la vitesse et le guidage des missiles, réduit l'effet de la Guerre Électronique ennemie.","Annule complètement la réduction de portée des armes, et les missiles du vaisseau ignorent toujours les leurres.",graphics/hullmods/eccm_package.png
Kit ECM,ecm,2,,,"offensive, special, merc, standard","Weapons, Support",4000,,,,6,12,18,24,com.fs.starfarer.api.impl.hullmods.ECMPackage,"Lorsque déployé en combat, confère un indice ECM de %s/%s/%s/%s, selon la taille de coque du vaisseau.",Augmente l'indice ECM du vaisseau.,,graphics/hullmods/ecm_package.png
Kit d'Escorte,escort_package,1,,,"special, weapons, engines, standard","Special, Weapons, Engines",8000,,,,0,7,15,0,com.fs.starfarer.api.impl.hullmods.EscortPackage,"Lorsque ce vaisseau se trouve dans un rayon d'environ %s su d'un vaisseau allié plus grand, augmente sa maniabilité de %s, et sa vitesse maximale de %s. Augmente également la portée des armes balistiques et énergétiques de %s.

Ces bonus sont %s pour les destroyers lorsque l'allié à proximité est un vaisseau capital.","Augmente la maniabilité, la vitesse maximale et la portée des armes à proximité d'un vaisseau allié plus grand.",Destroyers : réduit les dégâts subis par les boucliers de %s. Aucun effet supplémentaire pour les croiseurs.,graphics/hullmods/escort_package.png
Équipage de Pont Élargi,expanded_deck_crew,1,,,"special, merc, standard",Fighters,4000,,,,5,10,15,25,com.fs.starfarer.api.impl.hullmods.ExpandedDeckCrew,"Réduit la vitesse à laquelle le taux de remplacement des chasseurs diminue en raison des pertes de %s, et augmente la vitesse de récupération de %s.

Augmente l'équipage requis de %s par baie de chasseurs.","Améliore le taux de remplacement des chasseurs, augmente les besoins en équipage.",,graphics/hullmods/expanded_deck_crew.png
Chargeurs Élargis,magazines,1,,,"offensive, merc, standard",Weapons,2500,,,,3,5,7,10,data.hullmods.ExpandedMagazines,Augmente la capacité en munitions ou le nombre de charges des armes balistiques et énergétiques de %s.,Augmente les munitions/charges des armes balistiques et énergétiques.,Augmente le taux de régénération des munitions/charges des armes balistiques et énergétiques de %s.,graphics/hullmods/expanded_magazines2.png
Racks de Missiles Élargis,missleracks,1,,,"offensive, merc, standard",Weapons,5000,,,,8,12,20,30,data.hullmods.ExpandedMissileRacks,Augmente la capacité en munitions des armes à missiles de %s.,Augmente les munitions des armes à missiles.,Réduit la cadence de tir des armes à missiles de %s.,graphics/hullmods/expanded_missile_racks.png
Boucliers Étendus,extendedshieldemitter,1,,,"shields, defensive, merc, standard",Shields,5000,,,,4,8,12,20,data.hullmods.ExtendedShieldEmitter,Augmente la couverture des boucliers de %s degrés.,Augmente l'arc maximal des boucliers.,Augmente la couverture des boucliers de %s degrés supplémentaires.,graphics/hullmods/extended_shields.png
Bobine de Flux Auxiliaire,fluxcoil,0,,,"special, merc, standard",Special,4000,TRUE,,,4,8,12,20,data.hullmods.FluxCoilAdjunct,"Augmente la capacité de flux du vaisseau de %s/%s/%s/%s, selon la taille de coque. Moins efficace que les condensateurs de flux — surtout utile lorsqu'ajouté à une conception qui embarque déjà le nombre maximal de condensateurs.",Augmente la capacité de flux.,"Augmente la capacité de flux de %s/%s/%s/%s supplémentaires, rendant la bobine aussi efficace que l'ajout de condensateurs.",graphics/hullmods/flux_coil_adjunct.png
Distributeur de Flux,fluxdistributor,0,,,"special, merc, standard",Special,4000,TRUE,,,4,8,12,20,data.hullmods.FluxDistributor,"Augmente la dissipation de flux du vaisseau de %s/%s/%s/%s, selon la taille de coque. Moins efficace que les évents de flux — surtout utile lorsqu'ajouté à une conception qui embarque déjà le nombre maximal d'évents.",Augmente la dissipation de flux.,"Augmente la dissipation de flux de %s/%s/%s/%s supplémentaires, rendant le distributeur aussi efficace que l'ajout d'évents.",graphics/hullmods/flux_distributor.png
,,,,,,,,,,,,,,,,,,,
Dérivation de Bouclier,shield_shunt,1,,,"special, shields, merc, standard","Special, Shields",3000,,,,3,5,7,10,com.fs.starfarer.api.impl.hullmods.ShieldShunt,"Retire les boucliers du vaisseau. Les nœuds d'émission externes sont remplacés par un blindage renforcé, augmentant le blindage du vaisseau de %s.","Retire les boucliers, augmente le blindage.",Augmente le blindage du vaisseau de %s supplémentaires.,graphics/hullmods/shield_shunt.png
Générateur de Bouclier Improvisé,frontshield,0,,,"shields, defensive, standard",Shields,4000,,,,5,10,15,25,data.hullmods.FrontShieldGenerator,"Installe un générateur de bouclier de fortune inefficace sur le vaisseau. L'émetteur de bouclier est verrouillé en position frontale et possède un arc de %s degrés.

Le générateur de bouclier tire une grande partie de son énergie des moteurs et réduit la vitesse maximale du vaisseau de %s.",Installe des boucliers basiques sur un vaisseau sans bouclier. Réduit la vitesse maximale.,,graphics/hullmods/front_shield_generator.png
Autochargeur de Missiles,missile_autoloader,1,,,"offensive, merc, standard",Weapons,6000,,,,8,12,20,30,com.fs.starfarer.api.impl.hullmods.MissileAutoloader,<tooltip created in the script due to sections/other complexity>,Recharge les armes à missiles dans les petits emplacements de missiles.,Augmente le temps de rechargement après recharge à %s secondes.,graphics/hullmods/missile_autoloader.png
Boucliers Renforcés,hardenedshieldemitter,3,,,"shields, defensive, merc, standard",Shields,10000,,,,5,10,15,25,data.hullmods.HardenedShieldEmitter,Réduit les dégâts subis par les boucliers de %s. Réduit également la probabilité que les boucliers soient percés par les arcs EMP d'armes comme le Rayon Ionique.,Réduit les dégâts subis par les boucliers.,,graphics/hullmods/hardened_shields.png
Sous-systèmes Renforcés,hardened_subsystems,0,,,"special, merc, standard",Special,2500,TRUE,,,5,10,15,25,data.hullmods.HardenedSubsystems,"Augmente le temps de performance maximale pour les vaisseaux qui souffrent d'une dégradation de performance lors des déploiements prolongés de %s.

Réduit également la vitesse à laquelle la disponibilité opérationnelle se dégrade de %s.","Augmente le temps de performance maximale, la DO se dégrade plus lentement.",,graphics/hullmods/hardened_subsystems.png
Blindage Lourd,heavyarmor,0,,,"defensive, merc, standard",Defenses,2500,,,,8,15,20,40,data.hullmods.HeavyArmor,"Augmente le blindage du vaisseau de %s/%s/%s/%s points, selon la taille de coque.",Augmente le blindage.,Réduit la maniabilité du vaisseau de %s.,graphics/hullmods/heavy_armor.png
Amplificateur Haute Dispersion,high_scatter_amp,3,,,"offensive, merc, standard",Weapons,5000,,,,4,8,12,20,com.fs.starfarer.api.impl.hullmods.HighScatterAmp,<tooltip created in the script due to sections>,Réduit la portée des faisceaux ; les faisceaux infligent plus de dégâts et appliquent du flux dur aux boucliers.,Augmente les dégâts des armes à faisceau de %s supplémentaires.,graphics/hullmods/high_scatter_amp.png
IA de Défense de Point Intégrée,pointdefenseai,3,,,"defensive, merc, standard","Weapons, Defenses",10000,,,,3,6,9,15,data.hullmods.IntegratedPointDefenseAI,"Confère à toutes les armes de défense de point la capacité d'identifier — et d'ignorer — les leurres. De plus, toutes les armes de défense de point bénéficient du meilleur guidage de tir possible, indépendamment de la disponibilité opérationnelle, et tous les dégâts contre les missiles sont augmentés de %s.","La DP ignore les leurres, guidage de tir amélioré, plus de dégâts contre les missiles.","Toutes les petites armes non-missiles et non-frappe sont classifiées comme ""défense de point"", ciblent automatiquement les missiles, et sont affectées par les modificateurs de défense de point.",graphics/hullmods/integrated_point_defense_ai.png
#Point Defense Integration,pdintegration,3,,,"defensive, merc","Weapons, Defenses",10000,,,,12,15,18,24,com.fs.starfarer.api.impl.hullmods.PDIntegration,"Réduit le coût en points d'armement des petites armes de défense de point de %s. La réduction de coût ne s'applique qu'aux armes qui possèdent la capacité DP comme caractéristique intrinsèque de l'arme, et non lorsqu'elle est acquise par d'autres moyens comme un hullmod.

De plus, toutes les armes de défense de point infligent %s de dégâts supplémentaires à toutes les cibles.","Réduit le coût en points d'armement des petites armes DP, augmente tous les dégâts DP.",,graphics/hullmods/integrated_point_defense_ai.png
Module de Ciblage Intégré,targetingunit,3,,,"offensive, merc, standard",Weapons,10000,,,,4,8,15,25,data.hullmods.IntegratedTargetingUnit,"Augmente la portée des armes balistiques et énergétiques de %s/%s/%s/%s, selon la taille de coque. Ne peut pas fonctionner conjointement avec le Noyau de Ciblage Dédié.

La plupart des vaisseaux de combat installent soit un Module de Ciblage Intégré soit un Noyau de Ciblage Dédié, à l'exception des variantes plus spécialisées.","Augmente la portée des armes, davantage pour les grands vaisseaux.",,graphics/hullmods/integrated_targeting_unit.png
Relais de Navigation,nav_relay,2,,,"engines, special, merc, standard","Engines, Support",5000,,,,10,15,20,25,com.fs.starfarer.api.impl.hullmods.NavRelay,"Lorsque déployé en combat, augmente l'indice de navigation de votre flotte de %s/%s/%s/%s, selon la taille de coque du vaisseau.

L'indice de navigation total de votre flotte augmente la vitesse maximale de vos vaisseaux déployés.",Augmente la vitesse maximale des vaisseaux déployés.,,graphics/hullmods/nav_relay.png
Interface Neurale,neural_interface,3,,,"special, no_drop, no_drop_salvage",Special,10000,,,,3,6,9,15,com.fs.starfarer.api.impl.hullmods.NeuralInterface,"Relie le vaisseau amiral à un autre vaisseau, permettant aux deux vaisseaux de %s en même temps. Comme pour le ""transfert de commandement"", certains effets de compétences — comme ceux augmentant la capacité en munitions, ou la disponibilité opérationnelle — ne s'appliquent pas à l'autre vaisseau.

Permet également de basculer rapidement entre les vaisseaux liés sans utiliser de navette. Le transfert est instantané si les points de déploiement combinés des vaisseaux sont de %s ou moins. Le vaisseau de destination ne doit pas être sous le commandement d'un officier ou d'un noyau IA.","Permet de basculer rapidement entre les vaisseaux, réinitialise le temps de rechargement du système et ajoute une charge.","Les transferts depuis le vaisseau sont toujours instantanés, indépendamment du total de points de déploiement.",graphics/hullmods/neural_interface.png
Intégrateur Neural,neural_integrator,,,,"special, no_drop, no_drop_salvage",Special,10000,,,,3,6,9,15,com.fs.starfarer.api.impl.hullmods.NeuralIntegrator,"Une version augmentée de l'Interface Neurale qui fonctionne avec les vaisseaux automatisés en permettant le contrôle direct de tous les systèmes du vaisseau via le lien et en permettant aux deux vaisseaux de %s en même temps. Comme pour le ""transfert de commandement"", certains effets de compétences — comme ceux augmentant la capacité en munitions, ou la disponibilité opérationnelle — ne s'appliquent pas à l'autre vaisseau.

Permet également de basculer rapidement entre les vaisseaux liés sans utiliser de navette. Le transfert est instantané si les points de déploiement combinés des vaisseaux sont de %s ou moins. Le vaisseau de destination ne doit pas être sous le commandement d'un officier ou d'un noyau IA.

La complexité des modifications augmente les points de déploiement du vaisseau et le coût en fournitures pour la récupération après déploiement de %s.",Interface Neurale spécialisée pour les vaisseaux automatisés.,"Les transferts depuis le vaisseau sont toujours instantanés, indépendamment du total de points de déploiement.",graphics/hullmods/neural_integrator.png
Conversion de Bouclier – Frontal,frontemitter,2,,,"shields, defensive, merc, standard",Shields,7000,,,,3,5,8,12,data.hullmods.FrontShieldEmitter,"Verrouille l'émetteur de bouclier omnidirectionnel du vaisseau en position frontale et étend son arc de %s. Comme pour tous les émetteurs frontaux, le bouclier se déploiera aussi deux fois plus vite.","Convertit le bouclier omni en frontal, étend l'arc.",Réduit les dégâts subis par les boucliers de %s.,graphics/hullmods/front_shield_emitter.png
Conversion de Bouclier – Omni,adaptiveshields,3,,,"shields, defensive, merc, standard",Shields,7000,,,,3,5,8,12,data.hullmods.OmniShieldEmitter,Convertit les boucliers frontaux en omnidirectionnels. Réduit l'arc du bouclier de %s.,"Convertit le bouclier frontal en omni, réduit l'arc.",Annule la pénalité d'arc du bouclier.,graphics/hullmods/omni_shield_emitter_mod.png
Centre d'Opérations,operations_center,1,,,special,Special,5000,,,,30,30,30,30,com.fs.starfarer.api.impl.hullmods.OperationsCenter,Augmente le taux de récupération des points de commandement de %s lorsqu'installé sur le vaisseau amiral.,Augmente le taux de récupération des points de commandement sur le vaisseau amiral.,,graphics/hullmods/operations_center.png
Ancre de Phase,phase_anchor,3,,,"phase, merc, no_build_in, standard, phase_brawler",Phase,7000,,,,10,20,30,50,com.fs.starfarer.api.impl.hullmods.PhaseAnchor,"Réduit le coût d'activation du voile de phase à %s. Augmente la dissipation de flux léger et le taux de recharge des armes de %s en phase.

Lorsque le vaisseau subit des dégâts critiques qui le détruiraient ou le désactiveraient autrement, capable d'initier un plongeon d'urgence dans l'espace-p. Le vaisseau compte comme retiré et émergera dans l'espace normal à la fin du combat, subissant une pénalité supplémentaire de disponibilité opérationnelle égale à %s de son coût de déploiement. Le vaisseau doit avoir suffisamment de disponibilité opérationnelle pour couvrir ce coût afin d'initier le plongeon.

En raison des immenses distorsions dans l'espace-p causées par une telle manœuvre, un seul vaisseau par bataille — quel que soit le camp — est capable de l'effectuer.","Augmente la dissipation de flux et la recharge des armes en phase, manœuvre de plongeon d'urgence.",,graphics/hullmods/phase_anchor.png
Navettes de Récupération,recovery_shuttles,1,,,"special, standard",Fighters,4000,,,,3,6,9,15,com.fs.starfarer.api.impl.hullmods.RecoveryShuttles,Réduit les pertes subies par les pilotes de chasseurs de %s.,Réduit les pertes de pilotes de chasseurs.,Augmente la réduction des pertes de pilotes de chasseurs à %s.,graphics/hullmods/recovery_shuttles.png
Cloisons Renforcées,reinforcedhull,0,,,"defensive, merc, standard",Defenses,2500,TRUE,,,5,10,15,30,data.hullmods.ReinforcedBulkheads,"Augmente l'intégrité de coque du vaisseau de %s. Si désactivé, le vaisseau ne se désintégrera pas et est presque toujours récupérable après la bataille.",Augmente l'intégrité de coque ; vaisseau presque toujours récupérable en cas de perte.,,graphics/hullmods/reinforced_bulkheads.png
Conduits de Flux Résistants,fluxbreakers,2,,,"defensive, merc, standard","Special, Defenses",7000,,,,3,6,9,15,data.hullmods.FluxBreakers,Réduit les dégâts EMP subis par des armes comme les Canons Ioniques de %s. Augmente également la dissipation de flux du vaisseau pendant la purge de %s.,"Réduit les dégâts EMP subis, améliore la vitesse de purge.",Augmente la dissipation de flux pendant la purge de %s supplémentaires.,graphics/hullmods/resistant_flux_conduits.png
Safety Overrides,safetyoverrides,0,,,"special, engines, offensive, merc, no_build_in, standard","Special, Engines",2500,TRUE,,,15,30,45,70,data.hullmods.SafetyOverrides,"La désactivation des protocoles de sécurité augmente la vitesse maximale du vaisseau en combat de %s/%s/%s (selon la taille de coque, avec une augmentation correspondante de l'accélération) et permet au boost moteur à flux zéro de s'activer indépendamment du niveau de flux. Le taux de dissipation de flux, incluant celui des évents supplémentaires, est augmenté d'un facteur %s.

Réduit le temps de performance maximale d'un facteur %s, empêche l'utilisation de la purge active, et réduit drastiquement la portée des armes au-delà de %s unités.

Ne peut pas être installé sur les vaisseaux civils ou capitaux.","Amélioration drastique des performances, temps de performance maximale bien inférieur.",,graphics/hullmods/safety_overrides.png
,,,,,,,,,,,,,,,,,,,
Boucliers Stabilisés,stabilizedshieldemitter,1,,,"shields, defensive, merc, standard",Shields,5000,,,,3,6,9,15,data.hullmods.StabilizedShieldEmitter,Réduit la quantité de flux léger générée par les boucliers levés par seconde de %s. N'affecte pas le flux dur généré lorsque les boucliers subissent des dégâts.,Réduit le coût de maintien de flux des boucliers.,Convertit %s du flux dur subi par les boucliers en flux léger.,graphics/hullmods/stabilized_shields.png
,,,,,,,,,,,,,,,,,,,
Injecteur Instable,unstable_injector,0,,,"engines, merc, standard",Engines,2500,TRUE,,,5,10,15,25,data.hullmods.UnstableInjector,"Augmente la vitesse maximale du vaisseau en combat de %s/%s/%s/%s su/seconde, selon la taille de coque.

Interfère avec le ciblage des armes et d'autres systèmes vulnérables, réduisant la portée des armes non-missiles de %s et augmentant le temps de remplacement des chasseurs de %s.","Augmente la vitesse, réduit la portée des armes.",,graphics/hullmods/unstable_injector.png
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Couchettes Supplémentaires,additional_berthing,0,,,"req_spaceport, merc, standard","Logistics, Requires Dock",3000,TRUE,,,5,10,15,25,com.fs.starfarer.api.impl.hullmods.AdditionalBerthing,"Augmente la capacité maximale d'équipage de %s/%s/%s/%s, selon la taille de coque, ou de %s, selon la valeur la plus élevée.

Pour les coques de grade civil, augmente également le coût de maintenance en fournitures de %s.",Augmente la capacité d'équipage.,"Double l'augmentation de capacité d'équipage et, pour les coques civiles, annule l'augmentation du coût de maintenance.",graphics/hullmods/berthing.png
Champ de Propulsion Augmenté,augmentedengines,1,,,"req_spaceport, merc, standard","Logistics, Requires Dock",8000,,,,8,16,24,40,data.hullmods.AugmentedEngines,Augmente le niveau de propulsion maximal de %s.,Augmente le niveau de propulsion maximal.,Augmente le niveau de propulsion maximal de %s supplémentaires.,graphics/hullmods/augmented_drive_field2.png
Réservoirs de Carburant Auxiliaires,auxiliary_fuel_tanks,0,,,"req_spaceport, merc, standard","Logistics, Requires Dock",4000,TRUE,,,5,10,15,25,com.fs.starfarer.api.impl.hullmods.AuxiliaryFuelTanks,"Augmente la capacité maximale de carburant de %s/%s/%s/%s, selon la taille de coque, ou de %s, selon la valeur la plus élevée.

Pour les coques de grade civil, augmente également le coût de maintenance en fournitures de %s.",Augmente la capacité de carburant.,"Double l'augmentation de capacité de carburant et, pour les coques civiles, annule l'augmentation du coût de maintenance.",graphics/hullmods/fuel_tanks.png
Révision d'Efficacité,efficiency_overhaul,0,,,"req_spaceport, merc, standard","Logistics, Requires Dock",4000,,,,3,6,9,15,com.fs.starfarer.api.impl.hullmods.EfficiencyOverhaul,"Réduit la consommation de fournitures pour la maintenance, la consommation de carburant et l'équipage minimum requis de %s.

Augmente les taux de récupération de disponibilité opérationnelle et de réparation de %s. La consommation quotidienne de fournitures pour la récupération de DO est augmentée pour tenir compte du taux accru, mais le coût total en fournitures reste le même.",Réduit les coûts courants et permet plus de déploiements.,"Réduit le coût de maintenance, la consommation de carburant et l'équipage minimum requis de %s supplémentaires.",graphics/hullmods/efficiency.png
Soutes à Cargo Élargies,expanded_cargo_holds,0,,,"req_spaceport, merc, standard","Logistics, Requires Dock",4000,TRUE,,,5,10,15,25,com.fs.starfarer.api.impl.hullmods.ExpandedCargoHolds,"Augmente la capacité maximale de cargo de %s/%s/%s/%s, selon la taille de coque, ou de %s, selon la valeur la plus élevée.

Pour les coques de grade civil, augmente également le coût de maintenance en fournitures de %s.",Augmente la capacité de cargo.,"Double l'augmentation de capacité de cargo et, pour les coques civiles, annule l'augmentation du coût de maintenance.",graphics/hullmods/expanded_cargo.png
Capteurs Haute Résolution,hiressensors,2,,,"req_spaceport, merc, standard","Logistics, Requires Dock",9000,,,,4,6,9,15,com.fs.starfarer.api.impl.hullmods.HighResSensors,<Tooltip created in script>,Augmente la portée des capteurs de la flotte.,"Augmente la portée de vision en combat du vaisseau de %s/%s/%s/%s, selon la taille de coque.",graphics/hullmods/high_res_sensors.png
Assemblage Moteur Isolé,insulatedengine,0,,,"engines, defensive, req_spaceport, merc, standard","Engines, Logistics, Defenses, Requires Dock",2500,,,,3,6,9,15,data.hullmods.InsulatedEngines,"Augmente la résistance des moteurs du vaisseau de %s, et l'intégrité de coque du vaisseau de %s.

Le profil capteur du vaisseau est également réduit de %s.","Rend les moteurs plus difficiles à désactiver, réduit le profil capteur.","Augmente la résistance des moteurs de %s supplémentaires, et augmente la réduction du profil capteur à %s.",graphics/hullmods/insulated_engine_assembly.png
Sous-systèmes Militarisés,militarized_subsystems,0,,,"req_spaceport, merc, standard","Special, Logistics, Requires Dock",6000,TRUE,,,4,8,12,20,com.fs.starfarer.api.impl.hullmods.MilitarizedSubsystems,"Retire les pénalités d'une coque de grade civil, et augmente le niveau de propulsion maximal de %s.

Augmente l'équipage minimum requis de %s.","Retire les pénalités de capteurs, augmente le niveau de propulsion maximal, augmente l'équipage requis.",Annule l'augmentation des besoins en équipage.,graphics/hullmods/militarized_subsystems.png
Blindage Solaire,solar_shielding,2,,,"defensive, req_spaceport, merc, standard","Defenses, Logistics, Requires Dock",5000,,,,3,6,9,15,data.hullmods.SolarShielding,"Développé à l'origine par les ingénieurs du Diktat après des cycles passés à gérer les conditions uniques du système interne d'Askonia. Réduit l'effet de l'opération dans une couronne solaire sur la disponibilité opérationnelle de %s ; a le même effet contre les tempêtes en hyperespace profond.

En combat, réduit les dégâts d'énergie subis de %s.",Réduit l'effet d'être dans une couronne et les dégâts d'énergie subis.,Augmente la protection contre les couronnes solaires et dangers similaires à %s.,graphics/hullmods/solar_shielding2.png
